省份,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京市,190.77,149.79,160,152.31,99.38,132.92,126.35
天津市,172.09,125.62,157.42,134.14,130.76,94.5,114.95
河北省,42.64,57.9,44.15,13.5,13.72,0.32,0
山西省,0,0,0,0,0,0,0
内蒙古自治区,24,14.22,9.13,7.75,2.17,0,0
辽宁省,504.59,495.91,429.1,380.5,355.9,293.27,221.96
吉林省,29.54,28.22,21.61,8.79,0,0,0
黑龙江省,87.75,82.14,68.46,73.98,63.97,42.27,34.72
上海市,292.8,292.39,292.93,244.61,222.69,165.09,150.12
江苏省,390.89,434.35,410.6,290.39,244.84,231.63,201.29
浙江省,246.55,213.31,226.26,218.77,208.97,156.23,162.89
安徽省,34.83,12.98,0.44,0,0,0,0
福建省,332.32,359.34,274.82,118.4,79.34,103.2,106.82
江西省,57.47,54.95,34.17,24.35,21.93,3.24,0
山东省,289.02,257.86,200.79,199.53,163.5,114.88,92.22
河南省,62.8,62.78,49.48,72.63,78.28,72.11,47.7
湖北省,120.88,8.25,107.75,84.84,63.78,50.89,51.2
湖南省,64.36,63.35,51.69,38.98,35.22,28.31,12.52
广东省,713.39,682.88,641.13,535,438.34,399.07,366.08
广西壮族自治区,112.66,88.6,105.67,90.3,23.8,35.14,18.45
海南省,133.09,151.19,150.21,138.64,90.57,78.03,68.06
重庆市,0,0,0,0,0,0,0
四川省,46.05,46.88,29.07,0.42,1.86,1.24,0.9
贵州省,0,0,0,0,0,0,0
云南省,21.84,0,0,0,0,0,0
西藏自治区,0,0,0,0,0,0,0
陕西省,49.76,30.25,33.08,35.28,29.84,30.84,25.69
甘肃省,108.52,82.04,74.21,63.9,75.29,39.4,31.66
青海省,0,0,0,0,0,0,0
宁夏回族自治区,18.7,19.64,14.22,8.65,7.04,0,0
新疆维吾尔自治区,83.57,79,72.25,65.27,62.66,58.95,46.13
