省份,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京市,0,0,0,0,1.5,2.1,2.3,2.6,2.9
天津市,2194.77,2022.96,1812.55,1798.93,2068.9,2287.1,2289.5,2124.2,2295.7
河北省,24157.7,23723.37,19121.47,19259.97,18832,18530.3,18849.6,18048.4,16450.7
山西省,6039.05,5386.24,4429.68,3936.13,3847,4325.4,4519.6,3950.18,3490.39
内蒙古自治区,2653.69,2307.58,1983.51,1813.24,1735.1,1661.5,1978.6,1734.1,1669.7
辽宁省,7361.91,6873.92,6422.78,6028.96,6071.3,6507.76,5972.9,5177.5,5424.82
吉林省,1356.55,1204.58,910.68,832.03,1066.8,1264.8,1245.4,1174.2,906.77
黑龙江省,896.12,774.31,503.02,372.31,418.5,476.3,740.2,697.6,667.5
上海市,1640.25,1630.09,1607.7,1709.14,1783.8,1774.5,1800.6,1970.9,2225.5
江苏省,12017.1,10422.1,10427.73,11080.49,10995.2,10195.5,8469.1,7419.72,6838.81
浙江省,1350.68,1266.51,1090.68,1299.59,1594.9,1748.3,1387,1305.2,1329.9
安徽省,3222.47,3103.87,2833.93,2731.33,2506,2451.4,2351.5,2146.36,1968.55
福建省,2390.28,2085.7,1882.85,1516.8,1586.5,1820.8,1624.6,1576.79,1166.9
江西省,2524.48,2499.18,2412.69,2241.53,2211,2235.3,2156.6,2179.57,2067.78
山东省,6356.98,7177.2,7155.88,7167.11,6619.3,6411,6119.8,6282.1,5664.71
河南省,3299.09,2892.03,2870.8,2794.7,2897.4,2882.2,2736,2215.85,2370.79
湖北省,3594.73,3071.8,2875.18,2927.6,2919.8,3020.87,2887.8,2913.34,2866.64
湖南省,2385.72,2307.59,2041.41,1827.82,1852.8,1917.6,1746.5,1680.32,1819.82
广东省,3229.12,2880.54,2890.71,2283.19,1761.7,1710.4,1442.9,1228.66,1324.25
广西壮族自治区,2662.71,2262.08,2265.26,2109.57,2146,2084.3,1666.6,1341.62,1212.15
海南省,0,0,0.53,27.61,23.9,22.4,0,0,0
重庆市,845.37,638.16,411.44,366.52,689.5,785.6,608.9,545.76,630.6
四川省,2733.31,2400.7,2026.31,2007.74,1947.7,2243,1711.5,1674.89,1729.18
贵州省,442.34,418.41,439.9,515.85,466.4,551.6,485.2,531.3,434
云南省,2154.68,1925.04,1517.5,1417.33,1418.1,1689.1,1883.9,1526.7,1323.2
西藏自治区,0,0,0,0,0,0,0,0,0
陕西省,1430.75,1178.69,1184.26,924.67,1027.3,1038.3,916.9,828.7,766
甘肃省,877.77,802.41,560.52,628.36,852.1,1074,953.9,810.2,819.8
青海省,178.83,138.08,119.56,114.87,120.6,144.3,147.6,141.2,139.5
宁夏回族自治区,308.56,252.46,229.46,159.18,181.8,161.5,32.2,22.06,28.76
新疆维吾尔自治区,1236.88,1155.3,1110.1,868.37,739.6,1213.4,1176.9,1138.2,892.99
